query,url,domain,title_search,snippet_search,google_detected_date
site:bankier.pl prognoza PKB 2023,https://www.bankier.pl/wiadomosc/Komisja-Europejska-obnizyla-prognoze-wzrostu-PKB-Polski-Szczyt-inflacji-na-poczatku-2023-r-8437825.html,www.bankier.pl,Komisja Europejska obniżyła prognozę wzrostu PKB Polski. Szczyt ...,"11 lis 2022 ... ... 2023 roku spowolni do 0,7 proc., a w 2024 roku sięgnie 2,6 proc. - wynika z jesiennych prognoz KE, przedstawionych w piątek. W 2021 roku PKB ...",2022-11-11 11:32
site:bankier.pl prognoza PKB 2023,https://www.bankier.pl/wiadomosc/Coraz-gorsze-prognozy-ekonomistow-dla-PKB-Polski-w-2023-r-8420063.html,www.bankier.pl,Coraz gorsze prognozy ekonomistów dla PKB Polski w 2023 r ...,10 paź 2022 ... Coraz gorsze prognozy ekonomistów dla PKB Polski w 2023 r. ... Ekonomiści Credit Agricole obniżyli prognozę wzrostu gospodarczego Polski w 2023 r.,2022-10-10 10:16
site:bankier.pl prognoza PKB 2023,https://www.bankier.pl/wiadomosc/Nowe-prognozy-KE-dla-Polski-Inflacja-w-gore-PKB-w-dol-8374954.html,www.bankier.pl,Nowe prognozy KE. W przyszłym roku inflacja w Polsce ma być ...,"14 lip 2022 ... Komisja Europejska (KE) podwyższyła prognozę wzrostu PKB Polski w 2022 r. do 5,2 proc. i obniżyła szacunki na 2023 r. do 1,5 proc.",2022-07-14 11:00
site:bankier.pl prognoza PKB 2023,https://www.bankier.pl/wiadomosc/Agencja-Fitch-obnizyla-prognoze-dynamiki-PKB-Polski-Sa-tez-przewidywania-dla-inflacji-8504276.html,www.bankier.pl,Agencja Fitch obniżyła prognozę dynamiki PKB Polski. Są też ...,"13 mar 2023 ... ... prognoza zakłada lepszy początek 2023 r. Mimo to prognozujemy obecnie 0,7 proc. wzrostu PKB w miejsce grudniowych 1,1 proc."" - napisano ...",2023-03-13 14:32
site:bankier.pl prognoza PKB 2023,https://www.bankier.pl/wiadomosc/PKO-BP-prognozuje-wzrost-PKB-Polski-w-2023-r-8461317.html,www.bankier.pl,PKO BP prognozuje wzrost PKB i inflację w Polsce w 2023 r ...,"22 gru 2022 ... Jak wskazują, głównymi źródłami niepewności dla prognoz są: reakcja rynku pracy, odporność gospodarki na globalny spadek popytu, przebieg wojny ...",2022-12-22 14:18
site:bankier.pl prognoza PKB 2023,https://www.bankier.pl/wiadomosc/Prognozy-gospodarcze-KE-dla-Polski-Jak-zmieni-sie-PKB-inflacja-i-bezrobocie-8646722.html,www.bankier.pl,"Prognozy gospodarcze KE dla Polski. Jak zmieni się PKB, inflacja i ...","15 lis 2023 ... Komisja Europejska obniżyła szacunek wzrostu PKB Polski w 2023 r. do 0,4 proc. z 0,5 proc., utrzymała prognozę na 2024 r. na poziomie 2,7 ...",2023-11-15 11:02
site:bankier.pl prognoza PKB 2023,https://www.bankier.pl/wiadomosc/Oto-prognoza-realnego-PKB-Polski-w-najblizszym-czasie-8654741.html,www.bankier.pl,Oto prognoza realnego PKB Polski w najbliższym czasie - Bankier.pl,"29 lis 2023 ... Realne PKB Polski może wzrosnąć o 0,4 proc. w 2023 r. ze względu na osłabiony popyt wewnętrzny, wysoką inflacją i restrykcyjną politykę ...",2023-11-29 11:02
site:bankier.pl prognoza PKB 2023,https://www.bankier.pl/wiadomosc/Dwucyfrowa-inflacja-i-podwyzki-stop-do-polowy-2023-roku-Prognozy-OECD-dla-Polski-8443828.html,www.bankier.pl,Dwucyfrowa inflacja i podwyżki stóp do połowy 2023 roku. Prognozy ...,"22 lis 2022 ... OECD prognozuje, że PKB w Polsce w 2023 r. wzrośnie o 0,9 proc., a inflacja CPI wyniesie 10,8 proc. - wynika z najnowszej edycji raportu ...",2022-11-22 11:02
site:bankier.pl prognoza PKB 2023,https://www.bankier.pl/wiadomosc/NBP-przesuwa-szczyt-inflacji-drozyzna-pozostanie-z-nami-na-dluzej-Nowa-projekcja-8373682.html,www.bankier.pl,"NBP przesuwa szczyt inflacji, drożyzna pozostanie z nami na dłużej ...","12 lip 2022 ... Prognozy dla wzrostu PKB Polski w dół. ""Prognoza krajowego wzrostu gospodarczego kształtuje się w latach 2023-2024 poniżej poziomu z poprzedniej ...",2022-07-12 09:02
site:bankier.pl prognoza PKB 2023,https://www.bankier.pl/wiadomosc/MFW-obnizyl-prognozy-wzrostu-swiatowego-PKB-na-ten-i-przyszly-rok-8520950.html,www.bankier.pl,MFW obniżył prognozy wzrostu światowego PKB na ten i przyszły ...,"11 kwi 2023 ... Międzynarodowy Fundusz Walutowy obniżył prognozy wzrostu światowego PKB na 2023 r. do 2,8 proc., a na 2024 r. do 3 proc.",2023-04-11 16:14
