query,url,domain,title_search,snippet_search,google_detected_date,year
site:businessinsider.com.pl prognoza PKB 2021,https://businessinsider.com.pl/finanse/makroekonomia/prognoza-pkb-polski-36-proc-w-2017-roku/l778rps,businessinsider.com.pl,"Prognoza PKB Polski: 3,6 proc. w 2017 roku","19 kwi 2017 ... PKB w 2017 roku wyniesie 3,6 proc., a w przyszłym roku - o 0,2 pkt. proc. więcej. Takie prognozy zapisano w dokumencie ""Wstępne założenia ...",2017-04-19 13:47:21+0200,2021
site:businessinsider.com.pl prognoza bezrobocia 2021,https://businessinsider.com.pl/finanse/makroekonomia/bezrobocie-dane-za-wrzesien-2017-prognozy-analitykow/nexkdv1,businessinsider.com.pl,"Bezrobocie - dane za wrzesień 2017, prognozy analityków","23 paź 2017 ... Stopa bezrobocia rejestrowanego na koniec września wyniosła 6,9 proc ... ""RPP obawia się powtórki z 2021 r."" 30.03.2025 Grzegorz Kowalczyk.",2017-10-23 12:22:12+0200,2021
site:businessinsider.com.pl prognoza wzrostu gospodarczego 2022,https://businessinsider.com.pl/finanse/makroekonomia/liczba-pasazerow-samolotow-prognoza-iata-na-2036-rok/ct6b48f,businessinsider.com.pl,Liczba pasażerów samolotów - prognoza IATA na 2036 rok,"24 paź 2017 ... ""Przewidujemy, że wydarzy się to około 2022 roku, za sprawą znacząco szybszego wzrostu gospodarczego Chin i spowolnienia w USA"" - czytamy w ...",2017-10-24 10:43:59+0200,2022
site:businessinsider.com.pl prognoza wzrostu gospodarczego 2022,https://businessinsider.com.pl/finanse/makroekonomia/prognoza-ruchu-lotniczego-dla-polski-do-2035-roku-ulc/9m14m9q,businessinsider.com.pl,Prognoza ruchu lotniczego dla Polski do 2035 roku - ULC,30 paź 2017 ... ... 2022 roku. - Potrzebujemy drugiego lotniska dla Warszawy - mówi ... Ekonomiści zmieniają prognozy wzrostu gospodarki. Najpierw wolniej ...,2017-10-30 10:03:00+0100,2022
site:businessinsider.com.pl prognoza PKB 2022,https://businessinsider.com.pl/finanse/makroekonomia/prognozy-pkb-swiata-wg-mfw-na-2018-r/8gqz4ke,businessinsider.com.pl,Prognozy PKB świata wg MFW na 2018 r.,"22 sty 2018 ... ), prognozy zakładają niższą ścieżkę wzrostu przez kilka lat po 2022 r."" - dodano. W tabeli poniżej znajdują się wybrane prognozy wzrostu ...",2018-01-22 17:55:57+0100,2022
site:businessinsider.com.pl prognoza PKB 2021,https://businessinsider.com.pl/finanse/makroekonomia/wzrost-pkb-polski-w-2018-roku-prognoza-credit-agricole/522y1fz,businessinsider.com.pl,Wzrost PKB Polski w 2018 roku - prognoza Credit Agricole,"11 cze 2018 ... Bank Credit Agricole dokonał rewizji swojej prognozy wzrostu PKB Polski w 2018 roku. Według najnowszych szacunków CA, tempo wzrostu PKB ...",2018-06-11 16:07:50+0200,2021
site:businessinsider.com.pl prognoza inflacji 2023,https://businessinsider.com.pl/finanse/makroekonomia/inflacja-w-polsce-prognozy-raport-zbp-wrzesien-2018/sptd3tb,businessinsider.com.pl,"Inflacja w Polsce - prognozy, raport ZBP, wrzesień 2018","4 wrz 2018 ... 2,5 proc. ma w latach 2018-2023 wynieść inflacja w Polsce. To trzeci najwyższy wynik wśród krajów Unii Europejskiej. Największy wzrost cen ...",2018-09-04 15:11:42+0200,2023
site:businessinsider.com.pl prognoza bezrobocia 2022,https://businessinsider.com.pl/praca/emerytury/prognoza-zus-w-2023-r-deficyt-fus-wiekszy-nawet-o-196-mld-zl/76qb1ev,businessinsider.com.pl,"Prognoza ZUS: w 2023 r. deficyt FUS większy nawet o 19,6 mld zł","14 gru 2018 ... ... prognozy demograficzne opracowane przez ministerstwo finansów, że skorygowanych danych Eurostatu. Według niej do 2022 r. nasza populacja ...",2018-12-14 06:52:40+0100,2022
site:businessinsider.com.pl prognoza bezrobocia 2021,https://businessinsider.com.pl/finanse/makroekonomia/kryzys-gospodarczy-i-finansowy-ray-dalio-prognoza-usa-i-chiny/1cb3cfv,businessinsider.com.pl,"Kryzys gospodarczy i finansowy - Ray Dalio - prognoza, USA i Chiny",2 lut 2019 ... Podwyżki płac w Polsce hamują do najniższego poziomu od 2021 r. ... Zapowiada się wzrost bezrobocia. Napływ nowych ofert pracy niemal ...,2019-02-02 17:55:00+0100,2021
site:businessinsider.com.pl prognoza PKB 2021,https://businessinsider.com.pl/finanse/makroekonomia/mfw-ma-zla-wiadomosc-dla-polski-gospodarka-bedzie-zwalniac/s8jhx2y,businessinsider.com.pl,MFW ma złą wiadomość dla Polski. Gospodarka będzie zwalniać,"6 lut 2019 ... Dynamika PKB Polski. Prognoza MFW. MFW ocenia, że deficyt obrotów bieżących będzie stopniowo powiększał się do ok. 1,5 proc. PKB. Autorzy ...",2019-02-06 13:43:29+0100,2021
site:businessinsider.com.pl prognoza PKB 2021,https://businessinsider.com.pl/finanse/makroekonomia/wzrost-gospodarczy-w-polsce-prognozy-resortu-finansow/fdwqb2z,businessinsider.com.pl,Wzrost gospodarczy w Polsce - prognozy resortu finansów,"5 cze 2019 ... W tym roku dynamika wzrostu gospodarczego sięgnie 4 proc., a następnie spowolni do 3,7 proc. w 2020 r., do 3,4 proc. w 2021 r. i do 3,3 ...",2019-06-05 11:31:47+0200,2021
site:businessinsider.com.pl prognoza stopy referencyjnej NBP 2021,https://businessinsider.com.pl/finanse/makroekonomia/stopy-procentowe-decyzja-rpp-z-wrzesnia-2019-roku/wkmmzrg,businessinsider.com.pl,Stopy procentowe - decyzja RPP z września 2019 roku,11 wrz 2019 ... Rada Polityki Pieniężnej pozostawiła stopy procentowe NBP na niezmienionym poziomie. Referencyjna ... do końca 2021 r. RPP po raz ostatni ...,2019-09-11 14:27:21+0200,2021
site:businessinsider.com.pl prognoza bezrobocia 2021,https://businessinsider.com.pl/finanse/makroekonomia/pkb-wzrost-pkb-polski-prognoza-banku-swiatowego-na-2019-i-2020-rok/ptvtf8s,businessinsider.com.pl,PKB - wzrost PKB Polski - prognoza Banku Światowego na 2019 i ...,"9 paź 2019 ... Prognoza na lata 2020-2021 została utrzymana na poziomach odpowiednio 3,6 oraz 3,3 proc. ... bezrobocia są natychmiastowe i dotyczą ...",2019-10-09 10:02:24+0200,2021
site:businessinsider.com.pl prognoza PKB 2021,https://businessinsider.com.pl/finanse/makroekonomia/ke-prognozy-wzrostu-gospodarczego-dla-polski/x3k9372,businessinsider.com.pl,KE: prognozy wzrostu gospodarczego dla Polski,"7 lis 2019 ... Wzrost PKB w całej UE w latach 2019-2021 powinien wynieść 1,4 proc. KE pozostawiła bez zmian prognozę dla całej UE na 2019 r. i obniżyła o 0,2 ...",2019-11-07 11:18:32+0100,2021
site:businessinsider.com.pl prognoza wzrostu gospodarczego 2021,https://businessinsider.com.pl/twoje-pieniadze/inflacja-w-polsce-prof-dariusz-filar-radzi-jak-sie-zabezpieczyc/8k3hr6x,businessinsider.com.pl,"Inflacja w Polsce - prof. Dariusz Filar radzi, jak się zabezpieczyć","12 lis 2019 ... w wysokości 2,8 proc., a w 2021 r. - 2,6 proc. - W tej sytuacji ... Ekonomiści zmieniają prognozy wzrostu gospodarki. Najpierw wolniej ...",2019-11-12 14:52:23+0100,2021
site:businessinsider.com.pl prognoza PKB 2021,https://businessinsider.com.pl/finanse/makroekonomia/wzrost-pkb-polski-w-2020-i-2021-roku-prognoza-oecd/gy7tf93,businessinsider.com.pl,Wzrost PKB Polski w 2020 i 2021 roku - prognoza OECD,"21 lis 2019 ... Wzrost PKB Polski wyhamuje do 3,0 proc. w 2021 roku - prognozuje OECD w swoim listopadowym raporcie ""Economic Outlook"".",2019-11-21 12:41:48+0100,2021
site:businessinsider.com.pl prognoza PKB 2021,https://businessinsider.com.pl/finanse/makroekonomia/tempo-wzrostu-pkb-polski-do-2022-roku/z711xqy,businessinsider.com.pl,Tempo wzrostu PKB Polski do 2022 roku,"19 gru 2019 ... ... 2021 r. spadnie do 2,95 proc. i do 3,15 proc. w 2022 r. Średnioroczna ... Fed podniósł prognozy wzrostu PKB USA. Co mówią o największej ...",2019-12-19 11:00:20+0100,2021
site:businessinsider.com.pl prognoza PKB 2022,https://businessinsider.com.pl/finanse/prognoza-banku-swiatowego-polskie-pkb-przyspiesza-swiat-zwalnia/9dm1w39,businessinsider.com.pl,"Prognoza Banku Światowego. Polskie PKB przyśpiesza, świat zwalnia",9 sty 2020 ... Gospodarka globu ma się coraz gorzej - twierdzi Bank Światowy redukując prognozę wzrostu PKB za 2019 rok. Nawiązując do Asteriksa jest ...,2020-01-09 12:58:18+0100,2022
site:businessinsider.com.pl prognoza inflacji 2021,https://businessinsider.com.pl/finanse/makroekonomia/ile-moze-wyniesc-inflacja-w-styczniu-2020-r-prognoza-credit-agricole/wfe5nx6,businessinsider.com.pl,Ile może wynieść inflacja w styczniu 2020 r.? Prognoza Credit Agricole,"10 lut 2020 ... Będzie to czynnik ograniczający tempo wzrostu cen paliw i inflacji ogółem w najbliższych miesiącach"" - napisano w raporcie. ... W 2021 r. z uwagi ...",2020-02-10 12:57:16+0100,2021
site:businessinsider.com.pl prognoza PKB 2021,https://businessinsider.com.pl/finanse/makroekonomia/koronawirus-a-gospodarka-eksperci-tna-prognozy-wzrostu-pkb/hzryn70,businessinsider.com.pl,Koronawirus a gospodarka. Eksperci tną prognozy wzrostu PKB,"25 mar 2020 ... światowego PKB. ""Po kryzysie świat będzie innym miejscem"". Eksperci ... 2021 roku, drugi scenariusz zakłada przewlekły kryzys, trwający ...",2020-03-25 11:06:41+0100,2021
site:businessinsider.com.pl prognoza bezrobocia 2021,https://businessinsider.com.pl/finanse/makroekonomia/citi-o-pkb-w-polsce-i-wzroscie-bezrobocia-koronawirus-a-polska-gospodarka/p8w29ms,businessinsider.com.pl,Citi o PKB w Polsce i wzroście bezrobocia. Koronawirus a polska ...,"27 mar 2020 ... W Polsce w 2020 r. może czekać nas 10,9-proc. bezrobocie, spadek PKB o 3,2 proc., spadek inwestycji o 15 proc. i deficyt sektora finansów ...",2020-03-27 17:11:06+0100,2021
site:businessinsider.com.pl prognoza bezrobocia 2021,https://businessinsider.com.pl/finanse/makroekonomia/rynek-pracy-i-bezrobocie-a-koronawirus-analiza-gospodarki-i-finansow-panstwa/3n2bmmy,businessinsider.com.pl,Rynek pracy i bezrobocie a koronawirus. Analiza gospodarki i ...,27 mar 2020 ... W drugim scenariuszu Izby Gospodarczej szczyt bezrobocia przypadłby na luty 2021 ... Ta druga prognoza to już chyba raczej fantastyka. Moim ...,2020-03-27 18:19:18+0100,2021
site:businessinsider.com.pl prognoza bezrobocia 2021,https://businessinsider.com.pl/finanse/makroekonomia/credit-agricole-o-gospodarce-polski-w-2020-r-szacunki-pkb/8dfbpkl,businessinsider.com.pl,Credit Agricole o gospodarce Polski w 2020 r. Szacunki PKB,"30 mar 2020 ... Dynamika PKB Polski w 2020 r. będzie ujemna i wyniesie -2,1 proc.- wynika ze zrewidowanej prognozy ekonomistów Credit Agricole.",2020-03-30 10:42:34+0200,2021
site:businessinsider.com.pl prognoza bezrobocia 2021,https://businessinsider.com.pl/finanse/makroekonomia/kryzys-wywolany-pandemia-koronawirusa-prognoza-blackrock/h754175,businessinsider.com.pl,Kryzys wywołany pandemią koronawirusa - prognoza BlackRock,"1 kwi 2020 ... Zobacz też: ""Eksplozja"" bezrobocia w UE. Ma być nowy program wart ... ""RPP obawia się powtórki z 2021 r."" Makroekonomia. Dlaczego stopy ...",2020-04-01 21:06:52+0200,2021
site:businessinsider.com.pl prognoza PKB 2021,https://businessinsider.com.pl/finanse/makroekonomia/polska-gospodarka-a-koronawirus-kryzys-prognoza-goldman-sachs/3st7c99,businessinsider.com.pl,"Polska gospodarka a koronawirus, kryzys - prognoza Goldman Sachs","4 kwi 2020 ... Według Goldmana jednak, wzrost gospodarczy w regionie wróci pod koniec 2020 r. i utrzyma się w 2021 r. Bank twierdzi, że spadek PKB, choć ...",2020-04-04 09:53:20+0200,2021
site:businessinsider.com.pl prognoza bezrobocia 2021,https://businessinsider.com.pl/wiadomosci/bezrobocie-w-usa-a-w-polsce-i-calej-europie/e7nslx8,businessinsider.com.pl,"Bezrobocie w USA, a w Polsce i całej Europie","6 kwi 2020 ... Oczekujemy wzrostu stopy bezrobocia w tym roku do ok. 11 proc. i stopniowego spadku w 2021 r., choć ostateczna skala wzrostu będzie zapewne ...",2020-04-06 15:54:18+0200,2021
site:businessinsider.com.pl prognoza wzrostu gospodarczego 2021,https://businessinsider.com.pl/finanse/makroekonomia/koronawirus-kryzys-gospodarczy-okiem-mfw/lrcw5y5,businessinsider.com.pl,Koronawirus. Kryzys gospodarczy okiem MFW,"14 kwi 2020 ... ... prognozy dot. ... Międzynarodowy Fundusz Walutowy szacuje, że gospodarki strefy euro zanotować mogą w 2021 roku wzrost o 4,7 proc.",2020-04-14 14:58:30+0200,2021
site:businessinsider.com.pl prognoza PKB 2021,https://businessinsider.com.pl/wiadomosci/prognozy-pkb-polski-agencja-moodys-przewiduje-spadek/prchdcv,businessinsider.com.pl,Prognozy PKB Polski. Agencja Moody's przewiduje spadek,"16 kwi 2020 ... PKB, a na 2021 r. deficyt 2,9 proc. Na razie bez szans na wyższy rating. Analitycy agencji widzą małe szanse na podwyżkę ratingu Polski, z ...",2020-04-16 13:02:21+0200,2021
site:businessinsider.com.pl prognoza wzrostu gospodarczego 2021,https://businessinsider.com.pl/finanse/makroekonomia/szefowa-mfw-kryzys-wywolany-covid-19-gorszy-od-wielkiego-kryzysu/mt1zdng,businessinsider.com.pl,Szefowa MFW: kryzys wywołany COVID-19 gorszy od Wielkiego ...,"20 kwi 2020 ... W najlepszym przypadku MFW oczekuje ""częściowego ożywienia"" gospodarczego w 2021 ... Ekonomiści zmieniają prognozy wzrostu gospodarki. Najpierw ...",2020-04-20 15:31:04+0200,2021
site:businessinsider.com.pl prognoza bezrobocia 2021,https://businessinsider.com.pl/wiadomosci/prognoza-bezrobocia-pandemia-koronawirus-ministerstwo-finansow-morawiecki/4f2l8qz,businessinsider.com.pl,Prognoza bezrobocia pandemia koronawirus ministerstwo finansów ...,"29 kwi 2020 ... ... Bezrobocie ma zgodnie z nią wzrosnąć, ale dużo mniej niż mówiły prognozy wcześniejsze ... na koniec 2021. A to wszystko w ujęciu BAEL, czyli ...",2020-04-29 12:18:30+0200,2021
site:businessinsider.com.pl prognoza PKB 2021,https://businessinsider.com.pl/wiadomosci/prognoza-pkb-zbyt-lagodna-analitycy-santandera-obawiaja-sie-o-drugi-kwartal/2mfcwtp,businessinsider.com.pl,Prognoza PKB zbyt łagodna? Analitycy Santandera obawiają się o ...,"3 cze 2020 ... ... 2021 niż załamanie wzrostu w 2020 i szybszy powrót do poziomu PKB sprzed pandemii. ... prognoza spadku PKB w drugim kwartale o 11,7 proc.",2020-06-03 14:00:27+0200,2021
site:businessinsider.com.pl prognoza inflacji 2021,https://businessinsider.com.pl/finanse/makroekonomia/pkb-polski-w-2020-i-2021-roku-prognoza-banku-swiatowego/b3h1pc8,businessinsider.com.pl,PKB Polski w 2020 i 2021 roku. Prognoza Banku Światowego,"8 cze 2020 ... Bank Światowy zrewidował prognozy dla PKB Polski na 2020 rok. Według BŚ, gospodarka odnotuje spadek PKB o 4,2 proc. w tym okresie, a w 2021 ...",2020-06-08 19:04:28+0200,2021
