url,query,title_search,snippet_search,google_detected_date,has_forecast,main_topic,country,forecasts_json,processed_idx
https://www.obserwatorfinansowy.pl/bez-kategorii/rotator/projekcja-nbp-inflacja-wyzsza-a-wzrost-nizszy-w-2022-r/,site:obserwatorfinansowy.pl prognoza inflacji 2021,"Projekcja NBP: Inflacja wyższa, a wzrost niższy w 2022 r ...","Projekcja NBP: Inflacja wyższa, a wzrost niższy w 2022 r. 08.11.2021 15:00. NBP opublikował nowy Raport o inflacji, czyli dokument zawierający najważniejsze ...",,True,"Inflacja wyższa, PKB niższy w 2022-2023 (listopadowa projekcja NBP)",Polska,"[{""variable"": ""inflacja (CPI)"", ""value"": 4.9, ""unit"": ""proc."", ""horizon"": ""2021"", ""direction"": ""neutral"", ""who_forecasts"": ""NBP DABE (projekcja listopadowa 2021)"", ""quote"": ""listopadowa projekcja zakłada, że w tym roku CPI wyniesie 4,9 proc.""}, {""variable"": ""inflacja (CPI)"", ""value"": 5.8, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""wzrost"", ""who_forecasts"": ""NBP DABE (projekcja listopadowa 2021)"", ""quote"": ""w przyszłym sięgnie 5,8 proc.""}, {""variable"": ""inflacja (CPI)"", ""value"": 3.6, ""unit"": ""proc."", ""horizon"": ""2023"", ""direction"": ""spadek"", ""who_forecasts"": ""NBP DABE (projekcja listopadowa 2021)"", ""quote"": ""w 2023 r. spadnie do 3,6 proc.""}, {""variable"": ""PKB"", ""value"": 5.3, ""unit"": ""proc."", ""horizon"": ""2021"", ""direction"": ""wzrost"", ""who_forecasts"": ""NBP DABE (projekcja listopadowa 2021)"", ""quote"": ""Ścieżka centralna dla wzrostu gospodarczego w listopadowym raporcie wynosi 5,3 proc. w tym roku.""}, {""variable"": ""PKB"", ""value"": 4.9, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""wzrost"", ""who_forecasts"": ""NBP DABE (projekcja listopadowa 2021)"", ""quote"": ""Dynamika PKB po 4,9 proc. w obu latach""}, {""variable"": ""PKB"", ""value"": 4.9, ""unit"": ""proc."", ""horizon"": ""2023"", ""direction"": ""wzrost"", ""who_forecasts"": ""NBP DABE (projekcja listopadowa 2021)"", ""quote"": ""Dynamika PKB po 4,9 proc. w obu latach""}]",0.0
https://www.obserwatorfinansowy.pl/tematyka/makroekonomia/trendy-gospodarcze/inflacja-w-2021-r-spojrzenie-na-ceny-sztywne/,site:obserwatorfinansowy.pl prognoza inflacji 2021,Inflacja w 2021 r. – spojrzenie na ceny sztywne | Obserwator ...,"16 gru 2021 ... Z zastosowaniem tych danych, prognoza punktowa rocznej inflacji CPI w październiku 2022 r. wynosi 5,6 proc. Ważnym zastrzeżeniem jest jednak ...",,True,Inflacja CPI w USA i inflacja cen sztywnych; prognoza CPI na październik 2022,USA,"[{""variable"": ""inflacja CPI"", ""value"": 5.6, ""unit"": ""procent"", ""horizon"": ""październik 2022"", ""direction"": ""down"", ""who_forecasts"": ""Autorzy artykułu: Javier G. Gómez-Pineda; Juan Manuel Julio; Julián Roa-Rozo"", ""quote"": ""Z zastosowaniem tych danych, prognoza punktowa rocznej inflacji CPI w październiku 2022 r. wynosi 5,6 proc.""}]",1.0
https://www.obserwatorfinansowy.pl/bez-kategorii/rotator/notatka-dla-prezydenta-nixona-i-jej-dalekosiezne-skutki/,site:obserwatorfinansowy.pl prognoza inflacji 2021,Notatka dla prezydenta Nixona i jej dalekosiężne skutki ...,"26 sie 2021 ... prognoza inflacji Fed na 2021 r. była w przedziale od 1,4 proc. do 1,7 proc., natomiast w czerwcu 2021 r. uważano, że dynamika inflacji ...",,True,Prognozy inflacji w USA na 2021 r. według Fed,Stany Zjednoczone,"[{""variable"": ""inflacja"", ""value"": ""1,4-1,7"", ""unit"": ""proc."", ""horizon"": ""2021"", ""direction"": ""wzrost"", ""who_forecasts"": ""Fed"", ""quote"": ""Jeszcze w grudniu 2020 r. prognoza inflacji Fed na 2021 r. była w przedziale od 1,4 proc. do 1,7 proc.""}, {""variable"": ""inflacja"", ""value"": ""3,1-3,5"", ""unit"": ""proc."", ""horizon"": ""2021"", ""direction"": ""wzrost"", ""who_forecasts"": ""Fed"", ""quote"": ""natomiast w czerwcu 2021 r. uważano, że dynamika inflacji wyniesie między 3,1 proc. a 3,5 proc., co już dziś wydaje się prognozą nierealistyczną.""}]",2.0
https://www.obserwatorfinansowy.pl/bez-kategorii/rotator/gospodarka-okazala-sie-kryzysoodporna/,site:obserwatorfinansowy.pl prognoza inflacji 2021,Gospodarka okazała się kryzysoodporna | Obserwator Finansowy ...,"8 mar 2021 ... Konsekwentnie rośnie za to prognoza inflacji CPI. 3,1 proc. zamiast 2 ... Projekcja wskazuje także, że „skalę spadku inflacji CPI w 2021 r.",,True,"Prognozy makroekonomiczne Polski na lata 2021-2022 (NBP, DAE NBP)",Polska,"[{""variable"": ""PKB growth (GDP growth)"", ""value"": 4.1, ""unit"": ""%"", ""horizon"": ""2021"", ""direction"": ""up"", ""who_forecasts"": ""NBP – Departament Analiz Ekonomicznych (DAE NBP)"", ""quote"": ""„na koniec 2021 r. zamiast 3,1 proc., gospodarka ma urosnąć o cały punkt procentowy więcej”""}, {""variable"": ""PKB growth (GDP growth)"", ""value"": 5.4, ""unit"": ""%"", ""horizon"": ""2022"", ""direction"": ""up"", ""who_forecasts"": ""NBP – Departament Analiz Ekonomicznych (DAE NBP)"", ""quote"": ""„w 2022 r. zamiast 5,7 proc. wzrostu PKB czeka nas nieco niższe, ale wciąż imponujące 5,4 proc.”""}, {""variable"": ""CPI inflation"", ""value"": 3.1, ""unit"": ""%"", ""horizon"": ""2021"", ""direction"": ""up"", ""who_forecasts"": ""NBP"", ""quote"": ""„ Konsekwentnie rośnie za to prognoza inflacji CPI. 3,1 proc. zamiast 2,6 proc. w całym 2021 r.”""}, {""variable"": ""CPI inflation"", ""value"": 2.8, ""unit"": ""%"", ""horizon"": ""2022"", ""direction"": ""up"", ""who_forecasts"": ""NBP"", ""quote"": ""„2,8 proc. zamiast 2,7 proc. w 2022 r.”""}]",3.0
https://www.obserwatorfinansowy.pl/bez-kategorii/rotator/do-poziomu-pkb-sprzed-kryzysu-wrocimy-dopiero-w-2022-roku/,site:obserwatorfinansowy.pl prognoza inflacji 2021,Do poziomu PKB sprzed kryzysu wrócimy dopiero w 2022 roku ...,"17 lip 2020 ... wzrost), w 2021 roku wyraźne odbicie z wynikiem +4,9 proc. PKB ... Mniej, choć też wyraźnie, zmieniły się prognozy inflacji CPI. 3,3 ...",,True,Prognozy makroekonomiczne (NBP projection),Polska,"[{""variable"": ""PKB (GDP)"", ""value"": -5.4, ""unit"": ""%"", ""horizon"": ""2020"", ""direction"": ""spadek"", ""who_forecasts"": ""NBP projection"", ""quote"": ""w 2020 roku spadek PKB o 5,4 proc. (w marcu zakładano 3,2-proc. wzrost)""}, {""variable"": ""PKB (GDP)"", ""value"": 4.9, ""unit"": ""%"", ""horizon"": ""2021"", ""direction"": ""wzrost"", ""who_forecasts"": ""NBP projection"", ""quote"": ""w 2021 roku wyraźne odbicie z wynikiem +4,9 proc. PKB (poprzednio 3,1 proc.)""}, {""variable"": ""PKB (GDP)"", ""value"": 3.7, ""unit"": ""%"", ""horizon"": ""2022"", ""direction"": ""wzrost"", ""who_forecasts"": ""NBP projection"", ""quote"": ""powrót 3,7 proc. wzrostu w 2022 roku (poprzednia prognoza zakładała 3 proc.)""}, {""variable"": ""Inflacja CPI"", ""value"": 3.3, ""unit"": ""%"", ""horizon"": ""2020"", ""direction"": ""wzrost"", ""who_forecasts"": ""NBP projection"", ""quote"": ""3,3 proc. w 2020 roku""}, {""variable"": ""Inflacja CPI"", ""value"": 1.5, ""unit"": ""%"", ""horizon"": ""2021"", ""direction"": ""spadek"", ""who_forecasts"": ""NBP projection"", ""quote"": ""tylko 1,5 proc. w 2021 roku""}, {""variable"": ""Inflacja CPI"", ""value"": 2.1, ""unit"": ""%"", ""horizon"": ""2022"", ""direction"": ""wzrost"", ""who_forecasts"": ""NBP projection"", ""quote"": ""2,1 proc. na koniec 2022 roku""}, {""variable"": ""Stopy procentowe NBP (stawka referencyjna)"", ""value"": 0.1, ""unit"": ""%"", ""horizon"": ""koniec 2022 r."", ""direction"": ""brak zmian"", ""who_forecasts"": ""NBP projection (scenariusz bazowy)"", ""quote"": ""scenariusz bazowy (stopy proc. bez zmian przynajmniej do końca 2022 r.)""}]",4.0
https://www.obserwatorfinansowy.pl/bez-kategorii/rotator/silny-wzrost-pkb-i-wahajaca-sie-inflacja/,site:obserwatorfinansowy.pl prognoza inflacji 2021,Silny wzrost PKB i wahająca się inflacja | Obserwator Finansowy ...,"12 lip 2021 ... w 2023 r. Lipcowa projekcja zakłada wzrost PKB w 2021 r. o 0,9 pkt. proc. wyższy niż przewidywano w marcu i właściwie niezmienione dynamiki na ...",,True,Wzrost PKB i inflacja w Polsce według lipcowej projekcji NBP (2021–2023),Poland,"[{""variable"": ""Inflation (CPI)"", ""value"": 4.2, ""unit"": ""%"", ""horizon"": ""2021"", ""direction"": ""high/above 4%"", ""who_forecasts"": ""NBP lipcowa projekcja"", ""quote"": ""Inflacja do końca 2021 r. pozostanie na podwyższonym, ponad 4-proc. poziomie – wynika z lipcowej projekcji NBP.""}, {""variable"": ""Inflation (CPI)"", ""value"": 4.1, ""unit"": ""%"", ""horizon"": ""2022 Q1"", ""direction"": ""temporarily high"", ""who_forecasts"": ""NBP lipcowa projekcja"", ""quote"": ""Również w I kwartale przyszłego roku CPI sięgnie 4,1 proc.""}, {""variable"": ""Inflation (CPI)"", ""value"": 2.5, ""unit"": ""%"", ""horizon"": ""2022"", ""direction"": ""decrease toward target"", ""who_forecasts"": ""NBP lipcowa projekcja"", ""quote"": ""W 2022 r. inflacja wróci do przedziału dopuszczalnych odchyleń od celu inflacyjnego, czyli 2,5 proc. plus minus 1 pkt proc.""}, {""variable"": ""Inflation (CPI)"", ""value"": 3.5, ""unit"": ""%"", ""horizon"": ""2023"", ""direction"": ""increase"", ""who_forecasts"": ""NBP lipcowa projekcja"", ""quote"": ""W odniesieniu do 2023 r. nastąpi ponowny wzrost inflacji CPI ... 3,5 proc.""}, {""variable"": ""PKB growth"", ""value"": 5.0, ""unit"": ""%"", ""horizon"": ""2021"", ""direction"": ""increase"", ""who_forecasts"": ""NBP lipcowa projekcja"", ""quote"": ""Równe 5 procent w 2021 r.""}, {""variable"": ""PKB growth"", ""value"": 5.4, ""unit"": ""%"", ""horizon"": ""2022"", ""direction"": ""increase"", ""who_forecasts"": ""NBP lipcowa projekcja"", ""quote"": ""5,4 procent w 2022 r.""}]",5.0
https://www.obserwatorfinansowy.pl/tematyka/makroekonomia/trendy-gospodarcze/wzrost-i-spadek-inflacji-w-usa-aktualizacja/,site:obserwatorfinansowy.pl prognoza inflacji 2021,Wzrost i spadek inflacji w USA: Aktualizacja | Obserwator Finansowy ...,"23 sie 2025 ... 2022), mierzymy inflację oczekiwaną za pomocą prognozy inflacji CPI ... w celu wyjaśnienia wzrostu inflacji w latach 2021-2022. Naszym ...",,True,"Inflacja w USA i perspektywy powrotu do celu Fed (inflacja, oczekiwania inflacyjne i krótkoterminowe prognozy bazowe)",USA,"[{""variable"": ""Inflacja CPI oczekiwana w horyzoncie 10 lat"", ""value"": 2.3, ""unit"": ""%"", ""horizon"": ""10 lat"", ""direction"": ""towards target"", ""who_forecasts"": ""Survey of Professional Forecasters (SPF)"", ""quote"": ""Tymczasem w 2023 r. nastąpiło gwałtowne odwrócenie trendu i w I kwartale 2025 r. oczekiwania inflacyjne wróciły już do poziomu sprzed pandemii, czyli 2,3 proc.""}, {""variable"": ""Inflacja bazowa – oczekiwania na horyzoncie 12 miesięcy"", ""value"": 3.5, ""unit"": ""%"", ""horizon"": ""12 miesięcy"", ""direction"": ""above_target"", ""who_forecasts"": ""Ball et al. 2025 (na podstawie własnej analizy w VoxEU; dane z marca 2025 r.)"", ""quote"": ""W marcu 2025 r. mediana 12-miesięcznej inflacji bazowej wyniosła 3,5 proc., przekraczając poziom zgodny z celem Rezerwy Federalnej.""}]",6.0
https://www.obserwatorfinansowy.pl/bez-kategorii/rotator/prezes-nbp-inflacja-daleko-od-poziomu-ktory-chcielibysmy-widziec/,site:obserwatorfinansowy.pl prognoza inflacji 2021,"Prezes NBP: Inflacja daleko od poziomu, który chcielibyśmy widzieć ...","9 wrz 2021 ... Lipcowa projekcja NBP przewiduje, że inflacja do końca 2021 r. pozostanie na podwyższonym, ponad 4-proc. poziomie. Również w I kwartale ...",,True,Inflacja,Polska,"[{""variable"": ""inflacja CPI"", ""value"": 4.0, ""unit"": ""%"", ""horizon"": ""koniec 2021 r."", ""direction"": ""powyżej 4%"", ""who_forecasts"": ""NBP (Lipcowa projekcja)"", ""quote"": ""Lipcowa projekcja NBP przewiduje, że inflacja do końca 2021 r. pozostanie na podwyższonym, ponad 4-proc. poziomie.""}, {""variable"": ""inflacja CPI"", ""value"": 4.1, ""unit"": ""%"", ""horizon"": ""I kwartał 2022"", ""direction"": ""wysoka, później spada"", ""who_forecasts"": ""NBP (Lipcowa projekcja)"", ""quote"": ""W I kwartale przyszłego roku CPI sięgnie 4,1 proc.""}, {""variable"": ""inflacja CPI"", ""value"": 3.0, ""unit"": ""%"", ""horizon"": ""2022"", ""direction"": ""spadek w okolice celu"", ""who_forecasts"": ""NBP Departament Analiz Ekonomicznych (DAE) – projekcja"", ""quote"": ""Departament Analiz Ekonomicznych NBP przewiduje obniżenie wskaźnika cen w pobliże celu inflacyjnego, do około 3 proc.""}, {""variable"": ""inflacja CPI"", ""value"": 3.5, ""unit"": ""%"", ""horizon"": ""2023"", ""direction"": ""wzrost, powrót do 3,5%"", ""who_forecasts"": ""NBP Departament Analiz Ekonomicznych (DAE) – projekcja"", ""quote"": ""Rok 2023 ma z kolei przynieść odwrócenie tego trendu i ponowny wzrost inflacji, choć tym razem stopniowy i sięgający w horyzoncie projekcji 3,5 proc.""}]",7.0
https://www.obserwatorfinansowy.pl/bez-kategorii/rotator/do-stagflacji-potrzebna-nie-tylko-inflacja/,site:obserwatorfinansowy.pl prognoza inflacji 2021,Do stagflacji potrzebna nie tylko inflacja | Obserwator Finansowy ...,"25 cze 2022 ... W 2021 r. globalna gospodarka wzrosła realnie aż o 5,7 proc ... W styczniu 2022 r., w miesiącu publikacji poprzedniej prognozy, inflacja ...",,True,Prognozy makroekonomiczne Banku Światowego (Global Economic Prospects),Świat,"[{""variable"": ""PKB global"", ""value"": 2.9, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek w stosunku do wcześniejszych prognoz"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""Najnowsze prognozy Banku Światowego przewidują, że globalna gospodarka powiększy się w tym roku jedynie o 2,9 proc.""}, {""variable"": ""PKB Polska"", ""value"": 3.9, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek w porównaniu z wcześniejszą projekcją 4,7%"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""Zamiast spodziewanego jeszcze na początku roku 4,7 proc. tempa wzrostu wyniesie ono – wedle najnowszej oceny – o 0,8 pkt proc. mniej – 3,9 proc.""}, {""variable"": ""PKB Eurozony"", ""value"": 2.5, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""Dynamika rozwoju krajów należących do strefy euro spadnie w tym roku wedle najnowszych oczekiwań ekspertów Banku Światowego z 5,4 proc. w 2021 r. do tylko 2,5 proc.""}, {""variable"": ""PKB USA"", ""value"": 2.5, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""Jeszcze gwałtowniej zahamuje gospodarka amerykańska – z 5,7 proc. w 2021 r. do również 2,5 proc. w tym roku.""}, {""variable"": ""PKB Japonia"", ""value"": 1.7, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""Gospodarka Japonii powinna powiększyć się w tym roku, podobnie jak w poprzednim, o skromne 1,7 proc.""}, {""variable"": ""PKB Ukraina"", ""value"": -45, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""Najwięcej traci gospodarka napadniętej przez Rosję Ukrainy, która skurczy się w tym roku, wedle obecnych, ale przecież wciąż wstępnych prognoz, aż o 45 proc.""}, {""variable"": ""PKB Rosja"", ""value"": -8.9, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""Gospodarka samego napastnika – Rosji, która w tym roku zmaleje, wedle ocen Banku Światowego, o 8,9 proc.""}, {""variable"": ""PKB Białoruś"", ""value"": -6.5, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""Gospodarka wojennego pomocnika, jakim jest Białoruś, zmniejszy się o 6,5 proc.""}, {""variable"": ""PKB Mołdawia"", ""value"": -0.4, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""Recesja dotknie również małą gospodarkę sąsiadującej z Ukrainą Mołdawii (spodziewany spadek o 0,4 proc.).""}, {""variable"": ""PKB Tadżykistan"", ""value"": -0.4, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""Tadżykistan (spadek o 0,4 proc.)""}, {""variable"": ""PKB Kirgistan"", ""value"": -0.6, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""Kirgistan (spadek o 0,6 proc.)""}, {""variable"": ""PKB Sri Lanki"", ""value"": -7.8, ""unit"": ""proc."", ""horizon"": ""2022"", ""direction"": ""spadek"", ""who_forecasts"": ""Bank Światowy"", ""quote"": ""W tym roku skurczy się, wedle przewidywań, o 7,8 proc.""}]",8.0
https://www.obserwatorfinansowy.pl/tematyka/rynki-finansowe/bankowosc/wzrost-podazy-pieniadza-a-gwaltowny-wzrost-inflacji-po-pandemii-aktualizacja-dowodow/,site:obserwatorfinansowy.pl prognoza inflacji 2021,Wzrost podaży pieniądza a gwałtowny wzrost inflacji po pandemii ...,21 maj 2024 ... Każdy punkt procentowy różnicy w tempie wzrostu podaży pieniądza w 2020 r. pomiędzy krajami zmniejsza średni błąd prognozy inflacji na lata 2021 ...,,False,Związek między wzrostem podaży pieniądza a inflacją po pandemii; ocena trwałości związku i implikacje dla polityki fiskalnej (deficyt a dług publiczny).,Kraje rozwinięte (AE) i rozwijające się (EME) — analiza międzynarodowa,[],9.0
